X Xd Fn
0 0 0 
0.000195199 0.0390398 0.583277 
0.000784699 0.0780795 0.583277 
0.0017685 0.117119 0.583277 
0.00313103 0.155773 0.583277 
0.00488009 0.194426 0.583277 
0.00701568 0.233079 0.583277 
0.0095378 0.271732 0.583277 
0.0124465 0.310386 0.583277 
0.0157416 0.349039 0.583277 
0.0194234 0.387692 0.583277 
0.0234916 0.426345 0.583277 
0.0279464 0.464998 0.583277 
0.0328381 0.504038 0.583277 
0.0381241 0.543078 0.583277 
0.0438044 0.582118 0.583277 
0.0497489 0.595144 0.388949 
0.0555648 0.556143 0.000291639 
0.0612037 0.560498 0.324173 
0.0666697 0.521498 0.000291639 
0.0717418 0.482497 0.000291639 
0.0766802 0.495523 0.388949 
0.0814899 0.456523 0.000291639 
0.086296 0.495562 0.583277 
0.0913663 0.508589 0.388949 
0.0964815 0.504272 0.259396 
0.101553 0.499956 0.259396 
