X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
-0.000578968 -0.115837 0.000385631 0.0770827 0.00225198 0.450396 0.102 0.864701 -0.864701
-0.00232946 -0.231953 0.00154822 0.153885 0.00267235 -0.37533 0.085 0.864701 -0.864701
-0.00525199 -0.347882 0.00348726 0.230875 0.0011335 0.0750661 0.102 0.864701 -0.864701
-0.00929909 -0.462743 0.00617323 0.307024 0.00409155 0.521003 0.102 0.864701 -0.864701
-0.0144967 -0.57796 0.00961874 0.382813 0.0052547 -0.296548 0.085 0.864701 -0.864701
-0.0208463 -0.693082 0.0138224 0.458699 0.00449661 0.149389 0.102 0.864701 -0.864701
-0.0283474 -0.808368 0.0187846 0.534418 0.00819788 0.595326 0.102 0.864701 -0.864701
-0.0370037 -0.924094 0.0245016 0.609691 0.0101043 -0.222225 0.085 0.864701 -0.864701
-0.0468175 -1.03981 0.0309711 0.684975 0.0100894 0.223712 0.102 0.864701 -0.864701
-0.0577886 -1.15554 0.0381933 0.760241 0.00827964 -0.593839 0.085 0.864701 -0.864701
-0.0699151 -1.27084 0.0461701 0.835948 0.00454863 -0.147902 0.102 0.864701 -0.864701
-0.0831933 -1.38596 0.0549052 0.911831 0.005277 0.298035 0.102 0.864701 -0.864701
-0.0975806 -1.46378 0.0643064 0.950157 0.0055277 -0.253854 0.085 0.577938 -0.577938
-0.112882 -1.56724 0.0742222 1.01402 0.00496681 0.146753 0.102 0.769113 -0.769113
-0.128779 -1.5807 0.0843375 0.98875 0.00597155 0.0512606 0.085 0.1 -0.1
-0.144811 -1.59417 0.0941975 0.963471 0.00601182 -0.0442322 0.085 0.1 -0.1
-0.161129 -1.63761 0.104057 0.989194 0.00640255 0.123262 0.085 0.48235 -0.321567
-0.177287 -1.5612 0.114436 1.06686 0.00614618 -0.177002 0.017 0.864701 0.576467
