X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
0.000582154 0.115709 0.000393791 0.0794594 0.0364574 7.29148 0.102 0.874916 0.874916
0.00197763 0.159023 0.00160255 0.161432 0.137214 12.714 0.102 0.874916 0.396493
0.00405567 0.250474 0.00371792 0.260357 0.263346 12.2583 0 0.874916 0.874916
0.00696916 0.324183 0.00688584 0.36953 0.384876 11.8025 0 0.874916 0.874916
0.0105365 0.37974 0.0111971 0.486426 0.501803 11.3468 0 0.874916 0.874916
0.0145739 0.417094 0.0167177 0.608662 0.614128 10.8911 0 0.874916 0.874916
0.0188986 0.436511 0.0234902 0.734031 0.72185 10.4354 0 0.874916 0.874916
0.0224798 0.270969 0.0307325 0.69675 0.829526 10.8911 0.102 0.874916 -0.874916
0.025182 0.262364 0.0379976 0.742166 0.948545 12.695 0.0523097 0.448692 0.448692
0.0270215 0.10111 0.0451295 0.665817 1.07904 13.1507 0.102 0.874916 -0.874916
0.0275347 0.000290414 0.0514817 0.589173 1.20453 11.6846 0.0663088 0.568771 -0.568771
0.0270734 -0.0916782 0.0570092 0.50283 1.31489 10.153 0.0637213 0.546577 -0.546577
0.0261474 -0.0916782 0.0618926 0.46379 1.41744 10.153 0 0 0
0.0246188 -0.210549 0.0659086 0.328108 1.51941 10.0395 0.0943847 0.809595 -0.809595
0.0218965 -0.327667 0.0684525 0.172053 1.62309 10.4952 0.102 0.874916 -0.874916
0.0180549 -0.431749 0.0693608 0.00427297 1.73137 10.9509 0.102 0.874916 -0.874916
0.0132348 -0.520988 0.0685201 -0.174199 1.84426 11.4067 0.102 0.874916 -0.874916
0.00742322 -0.630072 0.0663623 -0.255989 1.95956 11.4263 0.0531934 0.874916 -0.037629
0.000768973 -0.685083 0.0628064 -0.451158 2.07725 11.882 0.102 0.874916 -0.874916
-0.00695445 -0.846619 0.0582514 -0.454027 2.19497 11.4263 0 0.874916 0.874916
-0.0163268 -1.01125 0.0535728 -0.475744 2.3081 10.9705 0 0.874916 0.874916
-0.0273683 -1.1768 0.0485827 -0.515779 2.41663 10.5148 0 0.874916 0.874916
-0.0400782 -1.34132 0.0430998 -0.573366 2.52055 10.0591 0 0.874916 0.874916
-0.0544374 -1.50311 0.0369514 -0.647551 2.61987 9.6034 0 0.874916 0.874916
-0.0697491 -1.52772 0.0296212 -0.805851 2.69261 4.75388 0 0.874916 -0.249819
-0.0850079 -1.49286 0.0208193 -0.938169 2.73271 3.17048 0.0613264 0.526034 -0.526034
-0.100853 -1.64595 0.0108364 -1.04043 2.76245 2.71476 0 0.874916 0.874916
-0.117278 -1.6063 -0.000574874 -1.22105 2.75753 -3.75264 0 0.874916 -0.663967
-0.133187 -1.54436 -0.0138688 -1.41369 2.72191 -3.29692 0.102 0.874916 -0.874916
-0.148497 -1.48757 -0.0291187 -1.60831 2.69089 -2.8412 0.102 0.874916 -0.874916
-0.163257 -1.43527 -0.0463424 -1.80451 2.66447 -2.38549 0.102 0.874916 -0.874916
-0.177508 -1.38679 -0.0655541 -2.00192 2.64266 -1.92977 0.102 0.874916 -0.874916
-0.191285 -1.3414 -0.0867645 -2.20025 2.62545 -1.47405 0.102 0.874916 -0.874916
-0.204617 -1.2984 -0.109982 -2.39924 2.61284 -1.01833 0.102 0.874916 -0.874916
-0.217523 -1.25706 -0.135211 -2.59867 2.60483 -0.562616 0.102 0.874916 -0.874916
